"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","bought_last_season","knows_SA_rating","SA_rating","general_rating","location_rating","price_rating","quality_rating","stock_rating","reputation_rating","seed_quality_general_rating","seed_yield_rating","seed_drought_rating","seed_disease_rating","seed_maturing_rating","seed_germinate_rating","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant"
"F_2960","AD_347","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1178","AD_261","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1766","AD_258","Yes","No","n/a","Yes","n/a","n/a","n/a","2","5","4","3","1","5","3","3","3","3","4","3","Yes","Yes","Yes","Yes","Yes","98","Yes"
"F_3008","AD_131","Yes","Yes","2017-02-01","n/a","Yes","No","n/a","4","5","4","4","2","4","5","4","3","3","4","3","98","Yes","Yes","98","No","98","98"
"F_1768","AD_258","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1173","AD_261","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_2951","AD_347","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3208","AD_261","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1767","AD_258","Yes","No","n/a","Yes","n/a","n/a","n/a","2","5","5","3","1","2","4","3","98","98","98","98","Yes","No","Yes","Yes","No","No","Yes"
"F_3059","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1567","AD_325","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1176","AD_261","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1171","AD_261","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3007","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3203","AD_261","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1769","AD_258","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_365","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3052","AD_131","Yes","Yes","2020-02-01","n/a","No","No","n/a","4","4","4","4","4","4","4","5","4","3","3","4","No","Yes","Yes","98","No","98","Yes"
"F_3053","AD_131","Yes","Yes","2021-02-01","n/a","No","No","n/a","4","5","4","5","4","3","5","3","4","3","98","5","98","Yes","Yes","98","Yes","98","Yes"
"F_2627","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3060","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_2629","AD_131","Yes","Yes","2019-02-01","n/a","Yes","No","n/a","4","3","2","5","4","3","4","4","2","1","5","5","98","Yes","Yes","Yes","No","No","Yes"
"F_1177","AD_261","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3006","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3004","AD_131","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3054","AD_131","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1402","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1405","AD_180","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1407","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1406","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1410","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3466","AD_73","Yes","Yes","2020-02-01","n/a","No","No","n/a","3","2","4","4","4","5","4","4","2","3","5","4","98","98","Yes","No","No","No","Yes"
"F_1401","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3469","AD_73","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1403","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3468","AD_73","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1409","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3465","AD_73","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_1408","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3461","AD_73","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3462","AD_73","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3463","AD_73","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_3467","AD_73","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_907","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_906","AD_180","Yes","No","n/a","Yes","n/a","n/a","n/a","5","5","1","4","4","5","4","5","98","98","4","4","98","98","Yes","No","Yes","98","Yes"
"F_904","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_902","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_905","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_909","AD_180","Yes","Yes","2019-02-01","n/a","Yes","No","n/a","1","3","5","2","5","5","2","3","2","2","5","5","98","Yes","Yes","No","Yes","Yes","Yes"
"F_910","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_903","AD_180","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_908","AD_180","Yes","Yes","2017-02-01","n/a","No","Yes","5","4","5","3","4","5","5","5","5","4","4","3","3","No","No","Yes","No","Yes","No","Yes"
"F_2092","AD_271","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_2093","AD_271","Yes","Yes","2021-02-01","n/a","Yes","No","n/a","4","5","5","4","4","5","4","4","4","4","4","4","No","Yes","Yes","Yes","Yes","Yes","Yes"
"F_2100","AD_271","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_2099","AD_271","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"F_2098","AD_271","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
