"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_2063","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2061","AD_4","Yes","Yes","2019-02-01","n/a","No","No","Yes","No","No","98","Yes","8"
"F_1142","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_2062","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1143","AD_268","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_2066","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3396","AD_4","Yes","No","n/a","Yes","98","98","Yes","Yes","98","No","Yes","8"
"F_2069","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3397","AD_4","Yes","Yes","2021-02-01","n/a","No","98","Yes","Yes","No","Yes","Yes","8"
"F_1144","AD_268","Yes","Yes","2019-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","70"
"F_147","AD_338","Yes","Yes","2018-02-01","n/a","No","No","Yes","No","No","No","Yes","14"
"F_2070","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3391","AD_4","Yes","No","n/a","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","8"
"F_3392","AD_4","Yes","No","n/a","Yes","No","No","Yes","98","No","Yes","Yes","8"
"F_2068","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3399","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1147","AD_268","Yes","Yes","2010-02-01","n/a","Yes","Yes","Yes","Yes","No","Yes","Yes","70"
"F_2067","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_3398","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1145","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_3395","AD_4","Yes","Yes","2021-02-01","n/a","98","98","Yes","No","No","Yes","Yes","8"
"F_882","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3394","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_883","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3393","AD_4","Yes","No","n/a","Yes","Yes","Yes","Yes","98","98","98","Yes","8"
"F_2785","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2788","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2781","AD_12","Yes","No","n/a","Yes","98","Yes","Yes","No","No","No","Yes","64"
"F_1141","AD_268","Yes","Yes","2021-02-01","n/a","Yes","Yes","Yes","Yes","98","Yes","Yes","70"
"F_144","AD_338","Yes","Yes","2018-02-01","n/a","98","No","Yes","No","No","No","Yes","14"
"F_2784","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2787","AD_12","Yes","Yes","2017-02-01","n/a","No","98","Yes","No","No","No","Yes","64"
"F_2789","AD_12","Yes","No","n/a","Yes","Yes","Yes","Yes","98","No","No","Yes","64"
"F_2790","AD_12","Yes","Yes","2017-02-01","n/a","No","No","Yes","No","No","98","Yes","64"
"F_357","AD_130","Yes","Yes","2017-02-01","n/a","Yes","Yes","No","No","No","No","Yes","30"
"F_358","AD_130","Yes","Yes","2017-02-01","n/a","No","No","Yes","No","Yes","No","Yes","30"
"F_1619","AD_244","Yes","Yes","2015-02-01","n/a","Yes","98","Yes","No","No","98","Yes","37"
"F_1620","AD_244","Yes","Yes","2020-02-01","n/a","98","No","Yes","No","No","98","Yes","37"
"F_1617","AD_244","Yes","Yes","2019-02-01","n/a","98","98","Yes","No","No","98","Yes","37"
